address,label,saturday,value
"Sumqayıt, Heydər Əliyev pr. 509",3 saylı Sumqayıt filialı,False,224
"Bakı, Yusif Səfərov küçəsi 23",Azəriqaz filialı,False,922
"Ağcabədi şəhəri, Üzeyir Hacıbəyli prospekti, 185A",Ağcabədi filialı,False,326
"Ağdaş, H.Əliyev prospekti, 190",Ağdaş filialı,False,252
"Ağstafa şəhəri , Heydər Əliyev küçəsi 47B",Ağstafa filialı,False,340
"Ağsu şəhəri, Ü. Hacıbəyov küç, 29A",Ağsu filialı,False,335
"Bakı, Muxtar Fətəliyev küç., ev 70",Bakıxanov filialı,False,226
"Balakən şəhəri, Heydər Əliyev prospekti, 254 B",Balakən filialı,False,345
"Biləsuvar, H.Əliyev prospekti, 45",Biləsuvar filialı,False,334
"Bakı şəhəri, Binəqədi rayonu, S.S. Axundov küç. 42 (“Azadlıq prospekti” metrostansiyasının çıxışı)",Binəqədi filialı,True,202
"Bərdə, Üzeyir Hacıbəyov küçəsi",Bərdə filialı,False,342
"Bakı, Yasamal r., Cəfər Cabbarlı k., 40c",Cəfər Cabbarlı filialı,False,201
"Cəlilabad, Azərbaycan k-si 44A",Cəlilabad filialı,False,259
"Daşkəsən, H.Əliyev küç, 38",Daşkəsən filialı,False,327
"Goranboy, H.Əliyev küç., 1A",Goranboy filialı,False,328
"Göygöl rayonu, H.Əliyev, 54",Göygöl filialı,False,329
"Göyçay, Heydər Əliyev prosp. 38",Göyçay filialı,False,256
"Gədəbəy şəhəri, Heydər Əliyev prospekti 2A",Gədəbəy filialı,False,341
"Bakı, Nərimanov rayonu, Gənclik m. st. yaxınlığı, Akademik H.Əliyev, 94",Gənclik filialı,True,206
"Gəncə, Nizami rayonu, Atatürk prospekti 242B",Gəncə Mərkəz filialı,True,925
"Gəncə şəhəri, Azərbaycan bayrağı, 49A",Gəncə filialı,True,255
"Gəncə, Ş.İ.Xətai prospekti, 101/15",Gəncə-Texnologiya filialı,False,924
"Hacıqabul, İsmət Qaibov küç.",Hacıqabul filialı,False,322
Heydər Əliyev adına Beynəlxalq Hava Limanı,Hava limanı filialı,False,927
"Kürdəmir, H.Əliyev prospekti 14",Kürdəmir filialı,False,260
"Bakı, Nizami küçəsi, 90A, Landmark Plaza 1-ci mərtəbə",Landmark filialı,False,320
"Lənkəran, Ş.Axundov küçəsi 16",Lənkəran filialı,True,261
"Bakı, Bankın Baş ofisi, Nizami küçəsi, 67",MXD (Pərakəndə) filialı,False,120
"Masallı şəh, Heydər Əliyev prospekti 34",Masallı filialı,False,271
"Mingəçevir, Vaqif küç. 1",Mingəçevir filialı,False,270
"Mərdəkan qəs., Yesenin 8a",Mərdəkan filialı,True,356
"Bakı şəh, Səbail rayonu, Sahil m. st. yaxınlığı, H.Z.Tağıyev küçəsi, 3",Mərkəzi filial (Korporativ),False,204C
"Bakı şəh, Səbail rayonu, Sahil m. st. yaxınlığı, H.Z.Tağıyev küçəsi, 3",Mərkəzi filial (Pərakəndə),False,204
"Naxçıvan, H.Əliyev prospekti, 31",Naxçıvan filialı,False,262
"Bakı, Nizami rayonu, Qara Qarayev prospekti 61C",Neftçilər filialı,False,228
"Bakı, Q.Qarayev, A.Manafov, T.Abbasov və Ə.Hacıyev küçələrinin kəsişməsi, məh. 2453 (Qara Qarayev m/st, 50 saylı dövlət notariat kontorunun yanı)",Nizami filialı,True,208
"Bakı ş., Nərimanov r., Ağa Neymətulla küç. 42",Nərimanov filialı,True,205
"Bakı, 28 may küç. 21A",Nəsimi filialı,True,207
"Oğuz, H.Əliyev küçəsi 98",Oğuz filialı,False,338
"Pirallahı rayonu, S. Murtuzəliyev küçəsi",Pirallahı filialı,False,354
"Bakı ş, Neftçi Qurban Abbasov k-si 29",Qaradağ filialı,False,203
"Qax şəhəri, H.Əliyev pr- 52d",Qax filialı,False,344
"Qazax, H.Əliyev prospekti 75",Qazax filialı,False,254
"Quba, H. Əliyev pr. 219A",Quba filialı,False,257
"Qəbələ, İ.Qutqaşınlı",Qəbələ filialı,False,323
"Saatlı, H.Əliyev prospekti 178",Saatlı filialı,False,264
"Bakı şəh. , Bakıxanov qəs.,S.Mehmandarov küç. 26",Sabunçu filialı,True,212
"Salyan ş., H.Əliyev küçəsi 103",Salyan filialı,False,321
"Samux rayonu, H.Əliyev 134",Samux filialı,False,330
,Sea Breeze filialı,True,227
"Siyəzən şəhəri, Babək küçəsi",Siyəzən filialı,False,325
"Sumqayıt şəhəri, Səməd Vurğun küçəsi, 112/14",Sumqayıt filialı,True,213
"müvəqqəti olaraq: Suraxanı r., Əmircan q., V.Balandin k. 422",Suraxanı filialı,True,214
"Səbail rayonu, Lev Tolstoy k-si, 210 məhəllə, 191",Səbail filialı,True,209
"Bakı şəhəri, Babək prospekti 1145-ci məhəllə",Sənaye filialı,False,211
"Tovuz, Sabir küçəsi 13",Tovuz filialı,False,339
"Tərtər, E.Hüseynov küçəsi 3",Tərtər filialı,False,343
"Ucar, Oğuz küç.,44",Ucar filialı,False,333
Xankəndi ş. İcra Hakimiyyətinin yanı,Xankəndi filialı,False,222
"Xaçmaz, N.Nərimanov prospekti 50A",Xaçmaz filialı,False,267
"Abşeron rayonu, Xırdalan şəhəri, M.Ə.Rəsulzadə küçəsi 3",Xırdalan filialı,True,324
"Xətai rayonu, Nobel pr.23, AMAY Ticarət Mərkəzi",Xətai filialı,True,215
"Yasamal r., İnşaatçılar pr. 14",Yasamal filialı,True,216
"Sumqayıt, 13-cü mikrorayon, Üzeyir Hacıbəyov küçəsi (Şərq bazarı ilə üzbəüz)",Yeni Sumqayıt filialı,True,219
"Yevlax, H.Əliyev prospekti 27",Yevlax filialı,False,268
"Zaqatala, Vidadi küçəsi 28a",Zaqatala filialı,False,269
"Zərdab, Azərbaycan küçəsi, 56",Zərdab filialı,False,357
"İmişli, 20 Yanvar küçəsi, 17",İmişli filialı,True,258
"İsmayıllı, M,F. Axundov k-si",İsmayıllı filialı,False,332
"Şabran, H.Əliyev küçəsi 101",Şabran filialı,False,253
"Şamaxı, H.Əliyev küçəsi 51",Şamaxı filialı,False,265
"Şirvan şəh., M. Rəsulzadə küç. 11 (Azərpoçtun yanı)",Şirvan filialı,False,251
,Şuşa filialı,False,229
"Şəki, H.Əliyev prospekti, 61A",Şəki filialı,True,266
"Şəmkir, S.Vurğun küçəsi, 131",Şəmkir filialı,True,263
"Bakı, Yasamal rayonu, A. M. Şərifzadə küçəsi 217/73, Bakı Tibb kollecinin yaxınlığı",Şərifzadə filialı,True,350
"Bakı, Nəsimi rayonu, M. Cəfərov küçəsi 28",Əcəmi filialı,True,355
,Əhmədli filialı,True,220
